DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,PK-12,FREE,REDUCED,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
0040,BRIGHTON 27J,,DISTRICT TOTAL,14469,3644,1160,9609,4804,25.18%,8.02%,33.20%
0050,BENNETT 29J,0763,BENNETT PRESCHOOL,59,0,0,31,0,0%,0%,0%
0050,BENNETT 29J,0770,BENNETT ELEMENTARY SCHOOL,421,121,53,247,174,28.74%,12.59%,41.33%
0050,BENNETT 29J,0774,BENNETT MIDDLE SCHOOL,192,42,21,128,63,21.88%,10.94%,32.81%
0050,BENNETT 29J,0775,BENNETT HIGH SCHOOL,340,49,30,257,79,14.41%,8.82%,23.24%
0050,BENNETT 29J,1889,CORRIDOR COMMUNITY ACADEMY,115,0,0,115,0,0%,0%,0%
0050,BENNETT 29J,,DISTRICT TOTAL,1127,212,104,778,316,18.81%,9.23%,28.04%
0060,STRASBURG 31J,7133,PRAIRIE CREEKS CHARTER SCHOOL,4,0,1,3,1,0%,25%,25%
0060,STRASBURG 31J,8328,STRASBURG ELEMENTARY SCHOOL,475,62,37,339,99,13.05%,7.79%,20.84%
0060,STRASBURG 31J,8332,HEMPHILL MIDDLE SCHOOL,255,22,21,212,43,8.63%,8.24%,16.86%
0060,STRASBURG 31J,8334,STRASBURG HIGH SCHOOL,307,50,15,242,65,16.29%,4.89%,21.17%
0060,STRASBURG 31J,,DISTRICT TOTAL,1041,134,74,796,208,12.87%,7.11%,19.98%
0070,WESTMINSTER 50,0000,NOT IN A SCHOOL,2,0,0,2,0,0%,0%,0%
0070,WESTMINSTER 50,1622,CLARA E. METZ ELEMENTARY SCHOOL,430,291,68,71,359,67.67%,15.81%,83.49%
0070,WESTMINSTER 50,1666,CLEAR LAKE MIDDLE SCHOOL,749,547,85,117,632,73.03%,11.35%,84.38%
0070,WESTMINSTER 50,2035,CROWN POINTE CHARTER ACADEMY,339,97,56,186,153,28.61%,16.52%,45.13%
0070,WESTMINSTER 50,2876,FAIRVIEW ELEMENTARY SCHOOL,343,276,25,42,301,80.47%,7.29%,87.76%
0070,WESTMINSTER 50,3144,FRANCIS M. DAY ELEMENTARY SCHOOL,341,281,27,30,308,82.40%,7.92%,90.32%
0070,WESTMINSTER 50,3649,GREGORY HILL PRESCHOOL,341,162,25,117,187,47.51%,7.33%,54.84%
0070,WESTMINSTER 50,3792,HARRIS PARK ELEMENTARY SCHOOL,399,267,63,69,330,66.92%,15.79%,82.71%
0070,WESTMINSTER 50,3931,HIDDEN LAKE HIGH SCHOOL,301,158,21,122,179,52.49%,6.98%,59.47%
0070,WESTMINSTER 50,4326,IVER C. RANUM HIGH SCHOOL,200,93,16,91,109,46.50%,8%,54.50%
0070,WESTMINSTER 50,4465,JOSEPHINE HODGKINS ELEMENTARY SCHOOL,743,532,62,139,594,71.60%,8.34%,79.95%
0070,WESTMINSTER 50,5388,M. SCOTT CARPENTER MIDDLE SCHOOL,593,464,52,77,516,78.25%,8.77%,87.02%
0070,WESTMINSTER 50,5834,MESA ELEMENTARY SCHOOL,415,281,59,75,340,67.71%,14.22%,81.93%
0070,WESTMINSTER 50,7810,FLYNN ELEMENTARY SCHOOL,407,228,45,134,273,56.02%,11.06%,67.08%
0070,WESTMINSTER 50,7812,SHAW HEIGHTS MIDDLE SCHOOL,674,390,84,200,474,57.86%,12.46%,70.33%
