DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,PK,K,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,TOTAL
0030,ADAMS COUNTY 14,,DISTRICT TOTAL,508,626,632,623,587,540,548,537,495,458,503,472,463,430,7422
0040,BRIGHTON 27J,0700,BELLE CREEK CHARTER SCHOOL,0,79,105,97,79,89,76,67,41,42,0,0,0,0,675
0040,BRIGHTON 27J,1021,BRIGHTON HERITAGE ACADEMY,0,0,0,0,0,0,0,1,4,13,81,45,35,26,205
0040,BRIGHTON 27J,1022,BRIGHTON HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,488,365,349,330,1532
0040,BRIGHTON 27J,1027,BRIGHTON COLLEGIATE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,91,47,62,63,263
0040,BRIGHTON 27J,1052,BROMLEY EAST CHARTER SCHOOL,0,110,96,108,95,86,93,83,67,82,0,0,0,0,820
0040,BRIGHTON 27J,3900,HENDERSON ELEMENTARY SCHOOL,179,59,69,51,51,63,40,0,0,0,0,0,0,0,512
0040,BRIGHTON 27J,4950,LANDMARK ACADEMY AT REUNION,0,85,81,84,78,80,75,77,54,0,0,0,0,0,614
0040,BRIGHTON 27J,5615,MARY E PENNOCK ELEMENTARY SCHOOL,0,140,125,140,155,120,127,0,0,0,0,0,0,0,807
0040,BRIGHTON 27J,6294,NORTH ELEMENTARY SCHOOL,60,69,65,59,53,58,56,0,0,0,0,0,0,0,420
0040,BRIGHTON 27J,6395,NORTHEAST ELEMENTARY SCHOOL,29,81,96,97,106,116,99,0,0,0,0,0,0,0,624
0040,BRIGHTON 27J,6638,OVERLAND TRAIL MIDDLE SCHOOL,0,0,0,0,0,0,0,241,208,233,0,0,0,0,682
0040,BRIGHTON 27J,6702,OTHO E STUART MIDDLE SCHOOL,0,0,0,0,0,0,0,177,164,148,0,0,0,0,489
0040,BRIGHTON 27J,7129,PRAIRIE VIEW HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,471,389,312,283,1455
0040,BRIGHTON 27J,7131,PRAIRIE VIEW MIDDLE SCHOOL,0,0,0,0,0,0,0,251,252,273,0,0,0,0,776
0040,BRIGHTON 27J,7714,SECOND CREEK ELEMENTARY SCHOOL,0,93,99,96,94,100,97,0,0,0,0,0,0,0,579
0040,BRIGHTON 27J,7725,SD 27J PRESCHOOL AT THE BRIGHTON LRC,116,0,0,0,0,0,0,0,0,0,0,0,0,0,116
0040,BRIGHTON 27J,8032,JOHN W THIMMIG ELEMENTARY SCHOOL,0,95,99,106,105,97,92,0,0,0,0,0,0,0,594
0040,BRIGHTON 27J,8060,SOUTH ELEMENTARY SCHOOL,0,104,114,84,100,93,105,0,0,0,0,0,0,0,600
0040,BRIGHTON 27J,8130,SOUTHEAST ELEMENTARY SCHOOL,56,119,112,118,113,115,106,0,0,0,0,0,0,0,739
0040,BRIGHTON 27J,8820,TURNBERRY ELEMENTARY,59,126,127,101,98,74,78,0,0,0,0,0,0,0,663
0040,BRIGHTON 27J,9230,VIKAN MIDDLE SCHOOL,0,0,0,0,0,0,0,196,206,190,0,0,0,0,592
0040,BRIGHTON 27J,9426,WEST RIDGE ELEMENTARY,58,143,130,112,92,80,97,0,0,0,0,0,0,0,712
0040,BRIGHTON 27J,,DISTRICT TOTAL,557,1303,1318,1253,1219,1171,1141,1093,996,981,1131,846,758,702,14469
0050,BENNETT 29J,0763,BENNETT PRESCHOOL,59,0,0,0,0,0,0,0,0,0,0,0,0,0,59
0050,BENNETT 29J,0770,BENNETT ELEMENTARY SCHOOL,0,60,69,85,56,81,70,0,0,0,0,0,0,0,421
0050,BENNETT 29J,0774,BENNETT MIDDLE SCHOOL,0,0,0,0,0,0,0,66,63,63,0,0,0,0,192
0050,BENNETT 29J,0775,BENNETT HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,82,91,91,76,340
0050,BENNETT 29J,1889,CORRIDOR COMMUNITY ACADEMY,0,18,17,15,18,17,12,6,11,1,0,0,0,0,115
0050,BENNETT 29J,,DISTRICT TOTAL,59,78,86,100,74,98,82,72,74,64,82,91,91,76,1127
0060,STRASBURG 31J,7133,PRAIRIE CREEKS CHARTER SCHOOL,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
0060,STRASBURG 31J,8328,STRASBURG ELEMENTARY SCHOOL,75,56,68,66,70,64,76,0,0,0,0,0,0,0,475
0060,STRASBURG 31J,8332,HEMPHILL MIDDLE SCHOOL,0,0,0,0,0,0,0,87,84,84,0,0,0,0,255
0060,STRASBURG 31J,8334,STRASBURG HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,65,94,80,68,307
0060,STRASBURG 31J,,DISTRICT TOTAL,75,56,68,66,70,64,76,87,84,84,65,94,81,71,1041
0070,WESTMINSTER 50,0000,NOT IN A SCHOOL,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
0070,WESTMINSTER 50,1622,CLARA E. METZ ELEMENTARY SCHOOL,0,69,82,58,79,71,71,0,0,0,0,0,0,0,430
0070,WESTMINSTER 50,1666,CLEAR LAKE MIDDLE SCHOOL,0,0,0,0,0,0,0,260,271,218,0,0,0,0,749
0070,WESTMINSTER 50,2035,CROWN POINTE CHARTER ACADEMY,0,52,52,52,52,26,26,30,26,23,0,0,0,0,339
0070,WESTMINSTER 50,2876,FAIRVIEW ELEMENTARY SCHOOL,0,59,63,68,48,49,56,0,0,0,0,0,0,0,343
0070,WESTMINSTER 50,3144,FRANCIS M. DAY ELEMENTARY SCHOOL,30,54,62,50,51,63,31,0,0,0,0,0,0,0,341
0070,WESTMINSTER 50,3649,GREGORY HILL PRESCHOOL,341,0,0,0,0,0,0,0,0,0,0,0,0,0,341
0070,WESTMINSTER 50,3792,HARRIS PARK ELEMENTARY SCHOOL,0,71,68,61,64,77,58,0,0,0,0,0,0,0,399
0070,WESTMINSTER 50,3931,HIDDEN LAKE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,55,88,70,88,301
0070,WESTMINSTER 50,4326,IVER C. RANUM HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200
0070,WESTMINSTER 50,4465,JOSEPHINE HODGKINS ELEMENTARY SCHOOL,89,126,114,96,122,100,96,0,0,0,0,0,0,0,743
0070,WESTMINSTER 50,5388,M. SCOTT CARPENTER MIDDLE SCHOOL,0,0,0,0,0,0,0,203,181,209,0,0,0,0,593
0070,WESTMINSTER 50,5834,MESA ELEMENTARY SCHOOL,0,61,75,68,70,76,65,0,0,0,0,0,0,0,415
0070,WESTMINSTER 50,7810,FLYNN ELEMENTARY SCHOOL,0,63,55,62,80,66,81,0,0,0,0,0,0,0,407
0070,WESTMINSTER 50,7812,SHAW HEIGHTS MIDDLE SCHOOL,0,0,0,0,0,0,0,222,225,227,0,0,0,0,674
0070,WESTMINSTER 50,7860,SHERRELWOOD ELEMENTARY SCHOOL,0,52,41,46,44,53,45,0,0,0,0,0,0,0,281
0070,WESTMINSTER 50,7952,SKYLINE VISTA ELEMENTARY SCHOOL,31,74,57,69,47,59,52,0,0,0,0,0,0,0,389
0070,WESTMINSTER 50,8406,SUNSET RIDGE ELEMENTARY SCHOOL,0,69,54,60,60,65,65,0,0,0,0,0,0,0,373
0070,WESTMINSTER 50,8798,TENNYSON KNOLLS ELEMENTARY SCHOOL,0,88,63,74,67,76,63,0,0,0,0,0,0,0,431
0070,WESTMINSTER 50,9462,WESTMINSTER ELEMENTARY SCHOOL,0,28,33,36,29,37,39,0,0,0,0,0,0,0,202
0070,WESTMINSTER 50,9466,WESTMINSTER HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,831,456,428,194,1909
0070,WESTMINSTER 50,,DISTRICT TOTAL,491,866,819,800,813,818,748,715,703,678,886,544,499,482,9862
0100,ALAMOSA RE-11J,0114,ORTEGA MIDDLE SCHOOL,0,0,0,0,0,0,0,179,139,141,0,0,0,0,459
0100,ALAMOSA RE-11J,0118,ALAMOSA HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,189,145,145,120,599
0100,ALAMOSA RE-11J,0119,ALAMOSA OPEN SCHOOL,0,0,0,0,0,0,0,0,0,0,11,7,15,7,40
0100,ALAMOSA RE-11J,0944,BOYD ELEMENTARY SCHOOL,0,0,0,151,181,0,0,0,0,0,0,0,0,0,332
0100,ALAMOSA RE-11J,2402,POLSTON ELEMENTARY SCHOOL,0,154,159,0,0,0,0,0,0,0,0,0,0,0,313
0100,ALAMOSA RE-11J,2818,EVANS ELEMENTARY SCHOOL,0,0,0,0,0,160,143,0,0,0,0,0,0,0,303
0100,ALAMOSA RE-11J,,DISTRICT TOTAL,0,154,159,151,181,160,143,179,139,141,200,152,160,127,2046
0110,SANGRE DE CRISTO RE-22J,7626,SANGRE DE CRISTO ELEMENTARY SCHOOL,19,30,11,31,23,22,22,27,0,0,0,0,0,0,185
